price,mileage
12295,101397
11995,99466
10495,112764
14989,33387
8991,100901
13557,35584
12549,57881
16509,14118
9900,117380
12444,74443
16988,39584
19777,46
14766,36537
14986,21254
11795,99530
11999,117007
15998,27238
13946,47413
11095,102885
11300,118992
13800,56049
14988,27459
9991,44536
14986,16718
12450,69626
14667,17426
14374,26825
10995,106315
9900,108676
15932,19
16250,42774
9400,152331
9295,102109
11895,106735
11995,107405
15998,16434
18995,27454
14500,17998
15490,27299
13888,55519
11999,148770
9399,124306
9685,121175
11095,102351
16877,1511
14777,35186
